,time,btc_open,btc_high,btc_low,btc_close,btc_volume,btc_num_trades,btc_friction_up_0.25,btc_friction_up_0.5,btc_friction_up_0.75,btc_friction_up_1.0,btc_friction_up_1.25,btc_friction_up_1.5,btc_friction_up_1.75,btc_friction_up_2.0,btc_friction_down_0.25,btc_friction_down_0.5,btc_friction_down_0.75,btc_friction_down_1.0,btc_friction_down_1.25,btc_friction_down_1.5,btc_friction_down_1.75,btc_friction_down_2.0,eth_open,eth_high,eth_low,eth_close,eth_volume,eth_num_trades,eth_friction_up_0.25,eth_friction_up_0.5,eth_friction_up_0.75,eth_friction_up_1.0,eth_friction_up_1.25,eth_friction_up_1.5,eth_friction_up_1.75,eth_friction_up_2.0,eth_friction_down_0.25,eth_friction_down_0.5,eth_friction_down_0.75,eth_friction_down_1.0,eth_friction_down_1.25,eth_friction_down_1.5,eth_friction_down_1.75,eth_friction_down_2.0,doge_open,doge_high,doge_low,doge_close,doge_volume,doge_num_trades,doge_friction_up_0.25,doge_friction_up_0.5,doge_friction_up_0.75,doge_friction_up_1.0,doge_friction_up_1.25,doge_friction_up_1.5,doge_friction_up_1.75,doge_friction_up_2.0,doge_friction_down_0.25,doge_friction_down_0.5,doge_friction_down_0.75,doge_friction_down_1.0,doge_friction_down_1.25,doge_friction_down_1.5,doge_friction_down_1.75,doge_friction_down_2.0
0,2023-01-24 10:23:00,22867.72000000,22867.72000000,22867.72000000,22867.72000000,0.00000000,0,5450438.428705698,5639184.797619141,5727103.646293102,5809789.076354016,5981273.874992259,6095491.027452662,6236611.857244713,6278222.791920448,5280487.831119086,5725514.592317378,6104883.763989746,6153188.148148746,6153188.148148746,6153188.148148746,6153188.148148746,6153188.148148746,1617.44000000,1617.44000000,1617.42000000,1617.42000000,1.80000000,3,2405833.2654572017,2464615.597554999,2501762.4482560004,2581043.3982804976,2658542.1148208966,2738422.706455695,2780817.6092061973,2889050.3881571954,2081396.385316001,2262641.197890391,2360830.786050591,2547638.6531182914,2547638.6531182914,2547638.6531182914,2547638.6531182914,2547638.6531182914,0.08832910,0.08832910,0.08832910,0.08832910,0.00000000,0,303400.9030343004,370803.0110176006,478227.86393870035,541910.939895101,593009.930135901,689755.6987457009,732551.043825401,758777.093702801,239101.65806389984,314067.0063390998,323879.39548089984,329577.21697479975,329577.21697479975,329577.21697479975,329577.21697479975,329577.21697479975
1,2023-01-24 10:24:00,22865.73000000,22865.73000000,22865.73000000,22865.73000000,0.00086400,1,5437755.400755156,5626439.755160118,5714420.61834256,5797106.048403474,5968590.847041717,6082807.99950212,6223928.829294171,6265539.763969906,5173649.767961736,5618676.529160028,5998045.700832396,6046350.084991396,6046350.084991396,6046350.084991396,6046350.084991396,6046350.084991396,1617.48000000,1617.48000000,1617.48000000,1617.48000000,0.00000000,0,2405190.2551459013,2463972.5872436985,2501119.4379447,2580400.3879691972,2658008.281409596,2737779.6961443946,2780294.339492897,2888407.377845895,2073293.769589801,2254538.5821641926,2352728.1703243926,2539536.037392093,2539536.037392093,2539536.037392093,2539536.037392093,2539536.037392093,0.08827650,0.08827650,0.08827650,0.08827650,0.00000000,0,311424.36466290033,378432.9297422004,486404.7359479002,550099.7777095009,600675.4810583008,697972.4434681007,740767.7885478009,766943.499483201,240746.21068549986,315869.88014349976,325523.9481024998,331221.76959639974,331221.76959639974,331221.76959639974,331221.76959639974,331221.76959639974
2,2023-01-24 10:25:00,22855.02000000,22861.58000000,22853.73000000,22853.73000000,0.17643000,4,5198267.333545977,5386951.68795094,5474134.391686821,5557617.981194295,5728171.911653698,5842943.245981841,5982452.304998922,6026051.696760727,5218282.607808504,5663274.657368047,6042643.829040415,6090948.213199415,6090948.213199415,6090948.213199415,6090948.213199415,6090948.213199415,1616.11000000,1616.11000000,1616.11000000,1616.11000000,0.00000000,0,2291162.397819802,2350006.6332375994,2387153.483938601,2466258.173316898,2543933.150503497,2623717.829662296,2666208.644888798,2740708.994839796,2079878.5290846012,2261147.4774969914,2359312.9298191913,2546120.7968868916,2546120.7968868916,2546120.7968868916,2546120.7968868916,2546120.7968868916,0.08819260,0.08819260,0.08819260,0.08819260,0.00000000,0,309422.2134925003,376624.5976179004,484532.7853153002,548216.7837052009,598715.066339901,696084.0338041008,738889.0836127008,765085.384958901,239695.7577224999,314819.4271804998,324473.4951394999,330171.3166333998,330171.3166333998,330171.3166333998,330171.3166333998,330171.3166333998
3,2023-01-24 10:26:00,22861.81000000,22864.33000000,22861.80000000,22864.33000000,0.29603000,6,5456899.729995216,5645584.084400179,5733564.94758262,5816250.377643534,5987735.176281777,6101952.32874218,6241084.701448161,6284684.093209966,5219394.094650994,5664420.855849287,6043790.027521654,6092094.411680655,6092094.411680655,6092094.411680655,6092094.411680655,6092094.411680655,1617.63000000,1617.63000000,1617.63000000,1617.63000000,0.00000000,0,2371287.381517402,2430069.713615199,2467216.5643162006,2546497.514340698,2624697.5316530964,2703876.822515895,2746391.4658643976,2854504.5042173956,2060539.3095154013,2241784.122089795,2339973.710249995,2526781.577317695,2526781.577317695,2526781.577317695,2526781.577317695,2526781.577317695,0.08831260,0.08831260,0.08831260,0.08831260,4164.00000000,1,312304.7887736003,379489.66283970047,487231.66167800024,550886.830726401,602013.7278752009,698759.4964850008,741554.8415647009,767730.552500101,242010.56821719985,316975.91649239976,326788.3056341998,332486.12712809973,332486.12712809973,332486.12712809973,332486.12712809973,332486.12712809973
4,2023-01-24 10:27:00,22875.33000000,22875.33000000,22873.78000000,22873.78000000,0.15517400,2,5304455.810968246,5493202.179881689,5581159.335878001,5663806.458616564,5836491.482081417,5949508.40971521,6090629.239507262,6132240.174182996,5318111.163791025,5763137.924989318,6142507.096661685,6190811.480820686,6190811.480820686,6190811.480820686,6190811.480820686,6190811.480820686,1618.20000000,1618.20000000,1618.20000000,1618.20000000,0.96245000,1,2395039.8708971017,2453769.035776499,2490915.8864775007,2570196.836501998,2648437.9916243963,2727680.677813195,2770090.7880256977,2878203.8263786957,2047607.0400121014,2227944.1804261953,2327129.768936395,2513937.6360040954,2513937.6360040954,2513937.6360040954,2513937.6360040954,2513937.6360040954,0.08831700,0.08831700,0.08831700,0.08831700,0.00000000,0,306678.4749267004,374130.0205639006,481605.34783110034,545288.4237875011,596387.414028301,693133.1826381009,735928.527717801,762154.5775952011,232452.08915999992,307417.43743519986,317229.8265769999,322927.6480708998,322927.6480708998,322927.6480708998,322927.6480708998,322927.6480708998
5,2023-01-24 10:28:00,22889.61000000,22889.61000000,22889.61000000,22889.61000000,0.00000000,0,5665701.688329157,5859116.79932781,5942316.186768631,6025066.495878404,6197995.519230918,6310694.893232001,6451774.079807892,6493385.014483627,5035994.835976585,5481007.149263808,5860464.803700115,5908769.187859115,5908769.187859115,5908769.187859115,5908769.187859115,5908769.187859115,1618.72000000,1618.72000000,1618.72000000,1618.72000000,0.97422000,1,2398529.5999391014,2457258.764818499,2494405.6155195003,2573686.5655439976,2651963.225291396,2732202.197196095,2773580.5170676974,2881693.5554206953,2064876.8142565014,2245213.9546705936,2344399.5431807935,2531207.410248494,2531207.410248494,2531207.410248494,2531207.410248494,2531207.410248494,0.08835280,0.08835280,0.08835280,0.08835280,0.00000000,0,311279.7489754003,378681.85695870046,486106.7098798002,549789.7858362009,600888.7760770009,698300.4912538008,740429.8897665009,766686.1516617009,243701.48167369986,318666.8299488998,328479.21909069986,334177.0405845998,334177.0405845998,334177.0405845998,334177.0405845998,334177.0405845998
6,2023-01-24 10:29:00,22894.07000000,22895.21000000,22894.06000000,22894.06000000,0.24903900,5,5697225.707717647,5890640.8187163,5973840.206157121,6056590.515266893,6229519.538619407,6342218.91262049,6483298.099196382,6524966.449599717,5007448.978147895,5452565.0168659175,5832022.6713022245,5880327.055461225,5880327.055461225,5880327.055461225,5880327.055461225,5880327.055461225,1618.36000000,1618.52000000,1618.36000000,1618.52000000,1.98669000,3,2382235.4915314014,2440964.656410799,2478111.5071118004,2557392.4571362976,2635669.116883696,2715138.670522995,2757286.4086599974,2865399.4470129954,2057795.5778149015,2238132.718228996,2337318.3067391957,2524126.173806896,2524126.173806896,2524126.173806896,2524126.173806896,2524126.173806896,0.08835280,0.08835280,0.08835280,0.08835280,0.00000000,0,312098.2946420003,379500.40262530046,486925.2555464002,550608.3315028009,601707.3217436009,699119.0369204008,741248.4354331009,767504.6973283009,234888.80180129985,309854.15007649973,319666.5392182998,325364.3607121997,325364.3607121997,325364.3607121997,325364.3607121997,325364.3607121997
7,2023-01-24 10:30:00,22911.80000000,22911.80000000,22911.80000000,22911.80000000,0.04805200,1,5651868.707576296,5845276.7029697,5931125.292866961,6011418.694660754,6184468.616045767,6296829.980798501,6438117.842312742,6479554.793716077,5124131.279255535,5569325.471086137,5948783.125522444,5997087.509681445,5997087.509681445,5997087.509681445,5997087.509681445,5997087.509681445,1618.66000000,1619.16000000,1618.66000000,1619.16000000,1.61143000,4,2467668.0341396015,2526397.199018999,2563544.0497200005,2642824.9997444977,2721101.659491896,2801340.631396595,2842751.6292417976,2950936.5169955953,1957293.0009482012,2137683.436550403,2236869.025060603,2423676.892128303,2423676.892128303,2423676.892128303,2423676.892128303,2423676.892128303,0.08835280,0.08835280,0.08835280,0.08835280,0.00000000,0,310717.2026834003,378119.3106667005,485544.1635878002,549227.239544201,600326.2297850009,697737.9449618008,739867.3434745009,766123.6053697009,233687.90334289987,308653.2516180998,318465.64075989986,324163.4622537998,324163.4622537998,324163.4622537998,324163.4622537998,324163.4622537998
8,2023-01-24 10:31:00,22901.60000000,22901.60000000,22901.60000000,22901.60000000,0.00200000,1,5671770.858526367,5865233.50966206,5948385.356965841,6031135.666075613,6204064.689428127,6316786.787490861,6457843.250005102,6499511.600408437,5131675.313120135,5576791.3518381575,5956249.006274465,6004553.390433465,6004553.390433465,6004553.390433465,6004553.390433465,6004553.390433465,1618.98000000,1619.06000000,1618.98000000,1619.06000000,2.52624000,3,2340731.0341288014,2399460.199008199,2436607.0497092004,2515887.9997336976,2594164.659481096,2674403.631385795,2715814.6292309975,2823894.9896103954,2074319.352790401,2254709.7883925927,2353895.3769027926,2540703.243970493,2540703.243970493,2540703.243970493,2540703.243970493,2540703.243970493,0.08838670,0.08838670,0.08838670,0.08838670,0.00000000,0,309632.8907312003,377398.90108020045,484516.92021620023,548182.6945645009,599241.9178328009,696653.6330096008,738783.0315223009,765039.2934175009,238288.93163119984,313254.2799063998,323066.66904819984,328764.49054209975,328764.49054209975,328764.49054209975,328764.49054209975,328764.49054209975
9,2023-01-24 10:32:00,22910.36000000,22910.36000000,22910.36000000,22910.36000000,0.00000000,0,5681994.335559636,5875402.33095304,5961250.920850301,6041544.322644094,6214594.2440291075,6326955.608781841,6468243.470296082,6509680.421699417,5106882.432675716,5552076.624506317,5931534.278942624,5979838.663101625,5979838.663101625,5979838.663101625,5979838.663101625,5979838.663101625,1619.25000000,1619.74000000,1619.25000000,1619.74000000,1.91328000,3,2457396.450350302,2516098.1480569993,2553244.998758001,2632630.496278098,2710802.6085298965,2791041.5804345952,2832485.762665798,2940742.3107305956,1963551.6143174013,2143990.8803100027,2243176.4688202026,2429984.335887903,2429984.335887903,2429984.335887903,2429984.335887903,2429984.335887903,0.08838670,0.08838670,0.08838670,0.08838670,0.00000000,0,313786.2405881003,381552.25093710044,488670.2700731002,552336.0444214009,603395.2676897008,700806.9828665007,742936.3813792008,769192.6432744008,235683.83322919987,310649.1815043998,320461.57064619986,326159.3921400998,326159.3921400998,326159.3921400998,326159.3921400998,326159.3921400998
