,time,btc_open,btc_high,btc_low,btc_close,btc_volume,btc_num_trades,btc_friction_up_0.25,btc_friction_up_0.5,btc_friction_up_0.75,btc_friction_up_1.0,btc_friction_up_1.25,btc_friction_up_1.5,btc_friction_up_1.75,btc_friction_up_2.0,btc_friction_down_0.25,btc_friction_down_0.5,btc_friction_down_0.75,btc_friction_down_1.0,btc_friction_down_1.25,btc_friction_down_1.5,btc_friction_down_1.75,btc_friction_down_2.0,eth_open,eth_high,eth_low,eth_close,eth_volume,eth_num_trades,eth_friction_up_0.25,eth_friction_up_0.5,eth_friction_up_0.75,eth_friction_up_1.0,eth_friction_up_1.25,eth_friction_up_1.5,eth_friction_up_1.75,eth_friction_up_2.0,eth_friction_down_0.25,eth_friction_down_0.5,eth_friction_down_0.75,eth_friction_down_1.0,eth_friction_down_1.25,eth_friction_down_1.5,eth_friction_down_1.75,eth_friction_down_2.0,doge_open,doge_high,doge_low,doge_close,doge_volume,doge_num_trades,doge_friction_up_0.25,doge_friction_up_0.5,doge_friction_up_0.75,doge_friction_up_1.0,doge_friction_up_1.25,doge_friction_up_1.5,doge_friction_up_1.75,doge_friction_up_2.0,doge_friction_down_0.25,doge_friction_down_0.5,doge_friction_down_0.75,doge_friction_down_1.0,doge_friction_down_1.25,doge_friction_down_1.5,doge_friction_down_1.75,doge_friction_down_2.0
0,2023-01-22 12:36:00,22935.10000000,22935.12000000,22935.10000000,22935.12000000,0.28804300,4,5365289.942172648,5564393.551974152,5650225.130150063,5731327.857946636,5903827.21085177,6016132.086383153,6158654.570875755,6198956.905420729,4927691.151703089,5401338.12650595,5765089.948563047,5813394.332722047,5813394.332722047,5813394.332722047,5813394.332722047,5813394.332722047,1660.59000000,1660.59000000,1660.55000000,1660.55000000,2.07550000,3,2534988.8487747,2584589.1483488986,2626901.7537263,2707454.7353770956,2782983.312560295,2872425.491434697,2908094.1990758963,3038043.4575085933,1706880.242152599,1900574.9741311022,1975600.8811952027,2163108.748262903,2163108.748262903,2163108.748262903,2163108.748262903,2163108.748262903,0.09232040,0.09232040,0.09232040,0.09232040,0.00000000,0,284154.6960048001,351499.0876710998,469099.01384659996,559012.8473396,628297.0512106002,681965.7586697,730952.2279128002,746926.1154927999,231600.43367919992,318377.43870819977,327248.4725780999,332505.99407199986,332505.99407199986,332505.99407199986,332505.99407199986,332505.99407199986
1,2023-01-22 12:37:00,22928.57000000,22928.57000000,22928.57000000,22928.57000000,0.00000000,0,5381416.2251965385,5580519.834998042,5666351.413173953,5747406.585405297,5919953.49387566,6032258.369407043,6174780.853899645,6215083.188444619,4919690.0555393,5393208.23674216,5756960.0587992575,5805264.442958258,5805264.442958258,5805264.442958258,5805264.442958258,5805264.442958258,1660.85000000,1660.85000000,1660.85000000,1660.85000000,0.00000000,0,2465935.5563699,2515483.5630220985,2557796.1683994997,2638349.1500502955,2713877.727233495,2803319.906107897,2839022.132226096,2968937.872181793,1739300.529505299,1932995.2614838022,2008021.1685479027,2195529.0356156034,2195529.0356156034,2195529.0356156034,2195529.0356156034,2195529.0356156034,0.09195760,0.09195760,0.09195760,0.09195760,0.00000000,0,279060.31497620017,346749.26241019985,464033.2526024,554640.1292636001,623109.4309886002,673544.7466474001,726562.0155246003,742289.4644095,233577.43287709993,319670.65745649976,328541.6913263999,333799.21282029984,333799.21282029984,333799.21282029984,333799.21282029984,333799.21282029984
2,2023-01-22 12:38:00,22911.85000000,22911.85000000,22911.85000000,22911.85000000,0.00000000,0,5366563.946076978,5565673.655436002,5651522.245333263,5731815.647127056,5905115.3747120695,6017476.739464803,6158764.600979044,6200201.552382379,4849133.7683456,5322617.349416261,5686369.171473358,5734673.555632358,5734673.555632358,5734673.555632358,5734673.555632358,5734673.555632358,1659.68000000,1659.68000000,1659.68000000,1659.68000000,0.00000000,0,2346932.3049101005,2396564.326494399,2438876.9318718,2519325.373335496,2594958.4907057956,2683076.603028097,2719962.4356063968,2849997.4159124936,1727714.7947124988,1922166.8143782022,1996362.7214423027,2183870.5885100034,2183870.5885100034,2183870.5885100034,2183870.5885100034,2183870.5885100034,0.09209240,0.09209240,0.09209230,0.09209230,7279.00000000,2,284815.25239430025,352451.9007535999,469564.3361643001,560065.3457884002,629390.3765591003,681542.4301404002,731965.4985616003,748069.6874465001,219047.7072781999,305741.8908461997,314612.92471609986,319870.4462099998,319870.4462099998,319870.4462099998,319870.4462099998,319870.4462099998
3,2023-01-22 12:39:00,22917.62000000,22917.62000000,22914.87000000,22914.87000000,0.97431900,10,5392010.257607188,5591154.267527612,5676968.556863473,5757292.204048266,5930561.68624228,6042923.050995013,6185081.749128854,6225647.863912589,4956244.68487121,5429728.26594187,5793480.087998968,5841784.472157968,5841784.472157968,5841784.472157968,5841784.472157968,5841784.472157968,1660.49000000,1660.49000000,1659.59000000,1659.59000000,9.92157000,18,2414143.768215601,2464383.016438899,2506695.6218163003,2587144.063279996,2662777.1806502957,2750629.672712197,2787781.125550897,2917816.1058569937,1708189.5408133988,1902641.5604791022,1976837.4675432027,2164345.334610903,2164345.334610903,2164345.334610903,2164345.334610903,2164345.334610903,0.09193810,0.09193810,0.09193810,0.09193810,0.00000000,0,281373.35610370024,349072.5335625999,466299.5562340001,556963.400416,625432.7021410002,675868.0177998,728885.2866770002,744612.7355619,234192.6245165999,320285.8490959997,329156.8829658999,334414.4044597998,334414.4044597998,334414.4044597998,334414.4044597998,334414.4044597998
4,2023-01-22 12:40:00,22915.46000000,22915.46000000,22912.98000000,22912.98000000,0.55029500,2,5384472.297747648,5583616.307668072,5669430.597003933,5749723.998797726,5923023.72638274,6035385.091135473,6176672.952649714,6218109.904053049,4903274.18625489,5376757.76732555,5740509.589382648,5788813.973541648,5788813.973541648,5788813.973541648,5788813.973541648,5788813.973541648,1661.08000000,1661.08000000,1661.02000000,1661.02000000,3.59475000,4,2588375.2338928003,2637923.240544999,2680235.8459224002,2760805.437573196,2836362.0616673958,2925759.5836307975,2961528.4049195964,3091377.5497046937,1728681.731933599,1922376.4639121024,1997402.370976203,2184910.238043904,2184910.238043904,2184910.238043904,2184910.238043904,2184910.238043904,0.09199510,0.09199510,0.09199510,0.09199510,0.00000000,0,278085.1443518002,345805.55290939985,463032.56372180005,553639.4403830001,622108.7421080002,672544.0577668,725561.3266440002,741288.7755289,235458.0534829999,321551.2780623997,330422.31193229987,335679.8334261998,335679.8334261998,335679.8334261998,335679.8334261998,335679.8334261998
5,2023-01-22 12:41:00,22912.50000000,22912.50000000,22912.50000000,22912.50000000,0.00000000,0,5387618.418370228,5586728.127729252,5672576.717626513,5752870.119420306,5926169.84700532,6038531.211758053,6179819.073272294,6221256.024675629,4956160.20049181,5429643.781562471,5793395.603619568,5841699.987778569,5841699.987778569,5841699.987778569,5841699.987778569,5841699.987778569,1659.31000000,1659.31000000,1659.31000000,1659.31000000,0.01507000,1,2462965.0932740006,2513204.341497299,2555516.9468747,2635965.388338396,2711598.5057086954,2799406.3581889966,2836602.4506092966,2966637.4309153934,1748213.223038399,1942665.2427041023,2016861.1497682028,2204369.0168359033,2204369.0168359033,2204369.0168359033,2204369.0168359033,2204369.0168359033,0.09187240,0.09187240,0.09187240,0.09187240,0.00000000,0,277241.7557522002,345029.2464141999,462284.2024323,552959.9941815002,621407.3915601003,671892.5460189001,724909.8148961003,740557.3067352,241068.10226309992,327105.90236119967,335976.9362310998,341234.45772499975,341234.45772499975,341234.45772499975,341234.45772499975,341234.45772499975
6,2023-01-22 12:42:00,22909.03000000,22909.03000000,22909.03000000,22909.03000000,0.00000000,0,5362210.381007868,5561320.090366892,5647168.680264153,5727462.082057945,5900761.809642959,6013123.174395693,6154179.636909934,6195847.987313269,4980390.685767139,5453853.83753492,5817605.6595920175,5865910.043751018,5865910.043751018,5865910.043751018,5865910.043751018,5865910.043751018,1658.67000000,1658.67000000,1658.67000000,1658.67000000,0.00000000,0,2436687.3597780005,2486926.6080012987,2529239.2133787,2609645.975863996,2685285.2696708953,2773128.6246929965,2810324.7171132965,2940322.9698161935,1750310.9335436989,1944762.9532094023,2018958.8602735028,2206466.7273412035,2206466.7273412035,2206466.7273412035,2206466.7273412035,2206466.7273412035,0.09215420,0.09215420,0.09215420,0.09215420,473.00000000,1,286660.1456953002,354268.9946267999,471861.55478780007,561874.7744537,631149.1437019003,683613.1037754001,733774.4273808002,749828.4545893,229775.92910219994,316470.1126701998,325341.14654009993,330598.66803399986,330598.66803399986,330598.66803399986,330598.66803399986,330598.66803399986
7,2023-01-22 12:43:00,22903.66000000,22903.66000000,22903.66000000,22903.66000000,0.00000000,0,5355345.2941803485,5554509.659281662,5640328.025315123,5720651.650972716,5893590.6452477295,6006312.743310463,6147369.205824704,6189037.556228039,4968859.652801059,5442265.080759141,5806016.902816238,5854321.2869752385,5854321.2869752385,5854321.2869752385,5854321.2869752385,5854321.2869752385,1658.49000000,1658.49000000,1658.49000000,1658.49000000,0.00000000,0,2438986.2756471005,2489225.5238703988,2531538.1292478,2611944.891733096,2687584.1855399953,2775292.5690767965,2812623.6329823965,2942621.8856852935,1755105.380145799,1949557.3998115023,2023753.3068756028,2211261.1739433035,2211261.1739433035,2211261.1739433035,2211261.1739433035,2211261.1739433035,0.09213200,0.09213200,0.09213200,0.09213200,0.00000000,0,283283.3797235002,350844.4029433999,467946.3373353001,558479.5799119002,627772.3777301004,679924.4313114003,730397.6614090004,746451.6886175001,233488.27606479995,320182.4596327998,329053.49350269994,334311.0149965999,334311.0149965999,334311.0149965999,334311.0149965999,334311.0149965999
8,2023-01-22 12:44:00,22885.52000000,22885.52000000,22885.52000000,22885.52000000,0.00000000,0,5134246.923861829,5333363.748826101,5416563.136266923,5499293.809201566,5672133.078080339,5785191.648930293,5926270.835506184,5967881.7701819185,5168007.741505588,5641298.66407375,6005050.486130848,6053354.870289848,6053354.870289848,6053354.870289848,6053354.870289848,6053354.870289848,1657.16000000,1657.16000000,1657.16000000,1657.16000000,0.96075000,1,2468209.1792302006,2518502.637561699,2560773.5528388,2640916.0657674964,2716749.3515312956,2804116.9312740965,2841825.9257225967,2971886.0666385936,1778836.604928699,1973103.9577975024,2047272.5910906028,2234780.4581583035,2234780.4581583035,2234780.4581583035,2234780.4581583035,2234780.4581583035,0.09203520,0.09203520,0.09203520,0.09203520,0.00000000,0,279251.2146742002,346910.28723999986,464056.1493262001,554663.0259874002,623160.2759659004,676120.4133712002,726584.9122484004,742689.1011333001,235332.93031369994,321962.6298930998,330833.66376299993,336091.18525689986,336091.18525689986,336091.18525689986,336091.18525689986,336091.18525689986
9,2023-01-22 12:45:00,22892.07000000,22903.35000000,22892.07000000,22903.35000000,0.36020000,3,5294165.200576139,5493329.565677452,5579147.931710913,5659471.557368506,5832410.55164352,5945132.649706253,6086189.112220494,6127857.462623829,5009684.375042539,5483089.803000621,5846841.625057718,5895146.009216718,5895146.009216718,5895146.009216718,5895146.009216718,5895146.009216718,1656.72000000,1657.18000000,1656.72000000,1657.18000000,5.20171000,6,2511088.5529038003,2561327.8011270985,2603598.7164041996,2683741.229332896,2759574.515096695,2846942.094839496,2884651.0892879963,3014711.230203993,1789870.5217943992,1984137.8746632026,2058306.507956303,2245814.375024003,2245814.375024003,2245814.375024003,2245814.375024003,2245814.375024003,0.09210240,0.09210240,0.09210240,0.09210240,0.00000000,0,277104.0580079002,344740.70636719983,461853.14177790005,552386.3843545001,621679.1821727003,673831.2357540001,724254.3041752003,740358.4930601,239298.66743429992,325992.8510022997,334863.88487219985,340121.4063660998,340121.4063660998,340121.4063660998,340121.4063660998,340121.4063660998
