,time,btc_open,btc_high,btc_low,btc_close,btc_volume,btc_num_trades,btc_friction_up_0.25,btc_friction_up_0.5,btc_friction_up_0.75,btc_friction_up_1.0,btc_friction_up_1.25,btc_friction_up_1.5,btc_friction_up_1.75,btc_friction_up_2.0,btc_friction_down_0.25,btc_friction_down_0.5,btc_friction_down_0.75,btc_friction_down_1.0,btc_friction_down_1.25,btc_friction_down_1.5,btc_friction_down_1.75,btc_friction_down_2.0,eth_open,eth_high,eth_low,eth_close,eth_volume,eth_num_trades,eth_friction_up_0.25,eth_friction_up_0.5,eth_friction_up_0.75,eth_friction_up_1.0,eth_friction_up_1.25,eth_friction_up_1.5,eth_friction_up_1.75,eth_friction_up_2.0,eth_friction_down_0.25,eth_friction_down_0.5,eth_friction_down_0.75,eth_friction_down_1.0,eth_friction_down_1.25,eth_friction_down_1.5,eth_friction_down_1.75,eth_friction_down_2.0,doge_open,doge_high,doge_low,doge_close,doge_volume,doge_num_trades,doge_friction_up_0.25,doge_friction_up_0.5,doge_friction_up_0.75,doge_friction_up_1.0,doge_friction_up_1.25,doge_friction_up_1.5,doge_friction_up_1.75,doge_friction_up_2.0,doge_friction_down_0.25,doge_friction_down_0.5,doge_friction_down_0.75,doge_friction_down_1.0,doge_friction_down_1.25,doge_friction_down_1.5,doge_friction_down_1.75,doge_friction_down_2.0
0,2023-01-23 11:36:00,22861.90000000,22861.90000000,22861.90000000,22861.90000000,0.00000000,0,5834371.547376456,6029349.750818478,6117330.614000919,6206409.474458543,6377894.273096786,6491734.739246089,6631243.79826317,6674843.190024975,5319478.081022109,5764996.938838611,6128067.948410979,6176372.332569979,6176372.332569979,6176372.332569979,6176372.332569979,6176372.332569979,1616.36000000,1616.36000000,1616.36000000,1616.36000000,0.00000000,0,2438651.2796621006,2497495.515079898,2534642.3657808993,2613747.0551591963,2691422.0323457955,2771236.934444594,2813697.526731096,2888197.8766820943,1778526.3353978014,1958810.6794102048,2029030.9905824051,2216538.857650106,2216538.857650106,2216538.857650106,2216538.857650106,2216538.857650106,0.08788630,0.08788630,0.08788630,0.08788630,0.00000000,0,262703.05250090006,353987.5639598002,462574.27493869996,521595.3310994005,577188.9519441004,667037.9153165002,716503.2809876003,744577.9045465005,232368.53591649974,307396.0355755997,316558.5033743998,321816.0248682997,321816.0248682997,321816.0248682997,321816.0248682997,321816.0248682997
1,2023-01-23 11:37:00,22849.92000000,22849.92000000,22849.92000000,22849.92000000,0.00000000,0,5891073.979382466,6086052.182824488,6173234.886560369,6263014.015757932,6433665.836923956,6548037.237942099,6687946.23026918,6731515.318462364,5487691.456462766,5933175.602640519,6296246.612212886,6344550.996371887,6344550.996371887,6344550.996371887,6344550.996371887,6344550.996371887,1616.43000000,1616.43000000,1616.43000000,1616.43000000,0.00000000,0,2445800.166639401,2504644.4020571983,2541791.2527582,2620926.136862097,2698570.919323096,2778385.8214218947,2820846.4137083967,2895346.763659395,1790266.764620101,1970551.1086325045,2040771.4198047048,2228279.2868724056,2228279.2868724056,2228279.2868724056,2228279.2868724056,2228279.2868724056,0.08777210,0.08777210,0.08777210,0.08777210,0.00000000,0,262468.93838840007,353734.9098423002,462249.50168800005,521428.9116992005,576831.2407904005,666348.0628839004,716337.2255349004,744406.9119566006,232323.05860509974,307276.7968744997,316439.2646732998,321696.7861671997,321696.7861671997,321696.7861671997,321696.7861671997,321696.7861671997
2,2023-01-23 11:38:00,22878.42000000,22878.42000000,22878.42000000,22878.42000000,0.00000000,0,5753702.600969616,5952356.868227739,6036711.98550643,6125740.528051703,6298425.551516556,6411442.479150349,6552563.308942401,6594174.243618135,5280895.524993547,5726379.60837165,6089485.392382417,6137789.776541417,6137789.776541417,6137789.776541417,6137789.776541417,6137789.776541417,1617.92000000,1617.92000000,1617.92000000,1617.92000000,0.99815000,1,2576320.665744801,2635075.2743031983,2672222.1250042,2751503.075028697,2829714.0123410956,2908882.3832038944,2951397.026552397,3059510.064905395,1829616.515553801,2009965.0519179043,2080209.4989281048,2267717.365995805,2267717.365995805,2267717.365995805,2267717.365995805,2267717.365995805,0.08793310,0.08793310,0.08793310,0.08793310,0.00000000,0,268158.3922230004,359442.9036819005,468029.6146608003,527090.5923808011,582644.2916662011,672493.2550386009,721958.620709701,750063.3068552011,226498.60371699976,301526.1033760997,310688.5711748998,315946.09266879974,315946.09266879974,315946.09266879974,315946.09266879974,315946.09266879974
3,2023-01-23 11:39:00,22855.31000000,22855.31000000,22855.31000000,22855.31000000,0.00000000,0,5782783.757165286,5977761.960607308,6064944.664343189,6154821.684247373,6325476.919060876,6440146.949034919,6579656.008052,6623255.399813805,5564019.520837517,6009503.66701527,6372574.6765876375,6420879.060746638,6420879.060746638,6420879.060746638,6420879.060746638,6420879.060746638,1617.55000000,1617.55000000,1617.55000000,1617.55000000,0.00000000,0,2462409.879116801,2521192.2112145983,2558339.0619155997,2637620.011940097,2715820.0292524956,2794999.3201152943,2837513.963463797,2945627.0018167947,1808490.992714301,1988751.2008887043,2058995.6478989047,2246503.5149666048,2246503.5149666048,2246503.5149666048,2246503.5149666048,2246503.5149666048,0.08793310,0.08793310,0.08793310,0.08793310,0.00000000,0,265994.44561620033,357278.95707510045,465865.66805400024,524926.6457740009,580480.3450594009,670329.3084318007,719794.6741029008,747899.360248401,229034.00936609978,304061.50902519975,313223.97682399984,318481.49831789976,318481.49831789976,318481.49831789976,318481.49831789976,318481.49831789976
4,2023-01-23 11:40:00,22843.37000000,22843.37000000,22843.37000000,22843.37000000,0.00000000,0,5868483.772847556,6063472.543485878,6150655.2472217595,6240434.376419323,6411086.197585346,6525457.598603489,6665272.09444513,6706715.633721314,5533429.510614556,5978913.656792309,6341984.666364676,6390289.050523677,6390289.050523677,6390289.050523677,6390289.050523677,6390289.050523677,1616.48000000,1616.48000000,1616.48000000,1616.48000000,0.00000000,0,2456254.917737501,2515099.1531552984,2552246.0038563,2631380.887960197,2709025.670421196,2788840.572519995,2831301.164806497,2905801.514757495,1791027.619791401,1971311.9638038045,2041532.2749760048,2229040.1420437056,2229040.1420437056,2229040.1420437056,2229040.1420437056,2229040.1420437056,0.08787640,0.08787640,0.08787640,0.08787640,0.00000000,0,263209.2336539001,354453.9356842002,463042.9314781,522101.5122524006,577695.1330971005,667444.1329695004,717009.4621406004,745084.0856995006,232932.27781959978,307959.7774786998,317122.2452774999,322379.7667713998,322379.7667713998,322379.7667713998,322379.7667713998,322379.7667713998
5,2023-01-23 11:41:00,22864.04000000,22864.04000000,22864.03000000,22864.03000000,0.27821200,2,5792200.363652886,5987178.567094908,6075159.430277349,6164238.290734973,6335723.089373216,6449563.555522519,6589072.6145396,6632672.006301405,5342695.2528107995,5788214.110627302,6151285.120199669,6199589.50435867,6199589.50435867,6199589.50435867,6199589.50435867,6199589.50435867,1617.68000000,1617.68000000,1617.68000000,1617.68000000,0.98421000,2,2565569.732055901,2624352.0641536983,2661498.9148546997,2740779.864879197,2818979.8821915956,2898159.1730543943,2940673.816402897,3048786.8547558947,1790136.6486310011,1970396.8568054044,2040641.303815605,2228149.170883306,2228149.170883306,2228149.170883306,2228149.170883306,2228149.170883306,0.08800100,0.08800100,0.08800100,0.08800100,0.00000000,0,293684.74322360056,360836.7104219007,468806.00477030047,527866.8189157011,583381.0362501012,680801.104259201,723596.487930301,750772.1360758012,229868.82595199975,304896.3256110997,314058.7934098998,319316.31490379974,319316.31490379974,319316.31490379974,319316.31490379974,319316.31490379974
6,2023-01-23 11:42:00,22845.16000000,22845.16000000,22845.16000000,22845.16000000,0.00000000,0,5892405.186510426,6087393.957148748,6174576.66088463,6264355.790082193,6435007.611248217,6549379.012266359,6689193.508108,6730637.047384185,5546297.903798577,5991782.04997633,6354853.059548697,6403157.443707698,6403157.443707698,6403157.443707698,6403157.443707698,6403157.443707698,1617.40000000,1617.40000000,1617.40000000,1617.40000000,0.00000000,0,2452273.033156801,2511055.365254598,2548202.2159555997,2627483.165980097,2704981.882520496,2784862.4741552942,2827257.3769057966,2935490.1558567947,1790721.968946801,1970982.1771212043,2041226.6241314048,2228734.4911991055,2228734.4911991055,2228734.4911991055,2228734.4911991055,2228734.4911991055,0.08794340,0.08794340,0.08794340,0.08794340,0.00000000,0,263692.7911309001,355377.98797760025,463595.45109770005,522599.4890367006,578153.1883221006,668002.1516945004,717467.5173656004,745572.2035111006,234841.32029549973,309868.81995459966,319031.28775339975,324288.8092472997,324288.8092472997,324288.8092472997,324288.8092472997,324288.8092472997
7,2023-01-23 11:43:00,22862.45000000,22862.45000000,22862.45000000,22862.45000000,0.00000000,0,5752126.220675146,5947104.424117168,6035085.28729961,6124164.147757233,6295648.946395476,6409489.4125447795,6548998.47156186,6592597.863323665,5330332.30394061,5775851.1617571125,6138922.17132948,6187226.55548848,6187226.55548848,6187226.55548848,6187226.55548848,6187226.55548848,1617.68000000,1617.68000000,1617.68000000,1617.68000000,0.00000000,0,2450795.557940701,2509577.890038498,2546724.7407394997,2626005.690763997,2704205.7080763956,2783384.9989391943,2825899.6422876967,2934012.6806406947,1785673.402872801,1965933.6110472044,2036178.0580574048,2223685.925125106,2223685.925125106,2223685.925125106,2223685.925125106,2223685.925125106,0.08790200,0.08790200,0.08790200,0.08790200,0.00000000,0,260597.2977400001,351881.8091989002,460468.5201778,519489.57633850054,575083.1971832005,664932.1605556003,714397.5262267004,742472.1497856006,232985.14640879977,308012.6460678997,317175.1138666998,322432.6353605997,322432.6353605997,322432.6353605997,322432.6353605997,322432.6353605997
8,2023-01-23 11:44:00,22860.85000000,22860.85000000,22860.85000000,22860.85000000,0.00000000,0,5880415.269722535,6075393.4731645575,6163374.336346999,6252453.196804622,6423937.995442865,6537778.461592169,6677287.520609249,6720886.912371054,5367369.013321889,5812887.871138391,6175958.880710758,6224263.264869759,6224263.264869759,6224263.264869759,6224263.264869759,6224263.264869759,1617.51000000,1617.51000000,1617.51000000,1617.51000000,0.00000000,0,2447105.3262750013,2505887.6583727985,2543034.5090738,2622315.459098297,2700515.476410696,2779694.7672734945,2822209.410621997,2930322.448974995,1789015.8366369011,1969276.0448113044,2039520.491821505,2227028.358889206,2227028.358889206,2227028.358889206,2227028.358889206,2227028.358889206,0.08794020,0.08794020,0.08794020,0.08794020,0.00000000,0,265706.72432740027,357391.9211741004,465609.3842942002,524613.4222332009,580167.1215186008,670016.0848910006,719481.4505621007,747586.1367076009,233891.88313539978,308919.38279449975,318081.85059329984,323339.37208719976,323339.37208719976,323339.37208719976,323339.37208719976,323339.37208719976
9,2023-01-23 11:45:00,22871.43000000,22871.43000000,22871.43000000,22871.43000000,0.00000000,0,5810341.252653856,6005381.470604358,6093300.319278319,6182379.179735943,6353863.978374186,6468081.130834589,6609201.96062664,6650812.895302375,5356057.272252348,5801576.130068851,6164647.139641218,6212951.5238002185,6212951.5238002185,6212951.5238002185,6212951.5238002185,6212951.5238002185,1617.41000000,1617.41000000,1617.41000000,1617.41000000,0.00000000,0,2424070.9728459013,2482853.3049436985,2520000.1556447,2599281.105669197,2676779.822209596,2756660.4138443945,2799055.316594897,2907288.095545895,1794247.164677401,1974507.3728518044,2044751.8198620048,2232259.6869297056,2232259.6869297056,2232259.6869297056,2232259.6869297056,2232259.6869297056,0.08794020,0.08794020,0.08794020,0.08794020,0.00000000,0,266092.8183756003,357778.0152223005,465995.4783424003,524999.516281401,580553.215566801,670402.1789392008,719867.5446103009,747972.2307558011,231619.92998489976,306647.4296439997,315809.8974427998,321067.41893669975,321067.41893669975,321067.41893669975,321067.41893669975,321067.41893669975
