,Unnamed: 0,btc_close,eth_close,doge_close,btc_volume,eth_volume,doge_volume,btc_friction_diff_0.25,btc_friction_diff_0.5,btc_friction_diff_0.75,btc_friction_diff_1.0,btc_friction_diff_1.25,btc_friction_diff_1.5,btc_friction_diff_1.75,btc_friction_diff_2.0,eth_friction_diff_0.25,eth_friction_diff_0.5,eth_friction_diff_0.75,eth_friction_diff_1.0,eth_friction_diff_1.25,eth_friction_diff_1.5,eth_friction_diff_1.75,eth_friction_diff_2.0,doge_friction_diff_0.25,doge_friction_diff_0.5,doge_friction_diff_0.75,doge_friction_diff_1.0,doge_friction_diff_1.25,doge_friction_diff_1.5,doge_friction_diff_1.75,doge_friction_diff_2.0,btc_close_15_min_future_percent_change,eth_close_15_min_future_percent_change,doge_close_15_min_future_percent_change,btc_close_10_min_future_percent_change,eth_close_10_min_future_percent_change,doge_close_10_min_future_percent_change,btc_close_5_min_future_percent_change,eth_close_5_min_future_percent_change,doge_close_5_min_future_percent_change,btc_close_15_min_past_percent_change,eth_close_15_min_past_percent_change,doge_close_15_min_past_percent_change,btc_close_10_min_past_percent_change,eth_close_10_min_past_percent_change,doge_close_10_min_past_percent_change,btc_close_5_min_past_percent_change,eth_close_5_min_past_percent_change,doge_close_5_min_past_percent_change,btc_volume_1_min_past_percent_change,eth_volume_1_min_past_percent_change,doge_volume_1_min_past_percent_change
btc_friction_diff_1.0,-0.12826764813081715,-0.5377053777443879,-0.43247696662222995,-0.3654567094231613,0.19993982430735602,0.0881964053101772,-0.04124114287768988,0.9992436894491585,0.9999857006253084,0.9999839168328628,1.0,0.9999527317040813,0.9992321476366928,0.999988049150843,0.9999891556169096,0.7253402038624043,0.7294731990371368,0.7295651862839165,0.7290205707488188,0.7294212812657495,0.7295677825956658,0.7283004183419685,0.7232936623700694,0.5280809819020282,0.3924810362057199,0.42479376081220743,0.4449019264480535,0.31917344384552665,0.4644587707521169,0.537542730913817,0.3935573589679318,0.00739328709087681,0.1142871735828657,-0.050125134057583905,-0.046959582984479976,0.05852378339664071,-0.07535220323346167,-0.05192917882138759,0.02133075309690013,-0.06970056971804778,-0.5246913564880036,-0.3872528669247393,-0.3955989246048952,-0.45763975184882577,-0.32158663532295556,-0.3539189585395813,-0.3547329218713869,-0.24049649267131823,-0.2508576409487659,-0.09358443770378762,-0.04205053974925042,0.033153797557504805
btc_friction_diff_1.25,-0.12287875154617829,-0.5422342664458066,-0.4375136213684526,-0.37076654005564974,0.20031908899606146,0.0882994102348282,-0.040890255120786076,0.9994088716731967,0.9999425221459645,0.9999318679794835,0.9999527317040813,1.0,0.9993959774571588,0.9999381639955226,0.9999570735080029,0.72789680261783,0.7319183249619768,0.7320104462096787,0.7314813830500587,0.7318679955711882,0.7320182143590434,0.7307704014471528,0.7258303197164724,0.5304356616058341,0.39131289223977134,0.4247195783951023,0.4481272981016585,0.32306063987667366,0.4654144039000473,0.5385364906028128,0.3927236478547962,0.009882534586099017,0.11684795917467283,-0.04782678967546458,-0.04472525493139326,0.06089879612958788,-0.07354051811334675,-0.05010561294172563,0.022959708906124646,-0.06829649714204306,-0.5234725195050421,-0.38632326193354594,-0.3947087350190053,-0.45695505564330824,-0.32119277671664936,-0.3533355845144483,-0.35448710820983015,-0.24046583633580326,-0.2509185967274746,-0.09347502220328122,-0.04208997452453602,0.03386853168093729
btc_friction_diff_1.5,-0.10518636258485496,-0.5619905416236878,-0.45530412446635127,-0.38826077202813536,0.20263986550330665,0.08758073646952962,-0.04027236827181778,0.9996924887402386,0.9991583725127388,0.9991194192424827,0.9992321476366928,0.9993959774571588,1.0,0.9991214115725078,0.9991864992509921,0.7311844984544226,0.7347153035294945,0.7347782191079978,0.7343373451335071,0.7346276743570332,0.7347988848043391,0.7336880157731764,0.7296402293616121,0.5433636830290888,0.38917381007001733,0.4236045420495783,0.45741726327387805,0.34379969294501705,0.4714009482184633,0.5398504150586916,0.3912296132775681,0.02139616995338858,0.12721653215879736,-0.033982096317697344,-0.03437652654104298,0.07059909393310784,-0.061602974763478265,-0.04197067796931606,0.03082251277671058,-0.05869715909530252,-0.5187615490736533,-0.3798573268702642,-0.38364554656042665,-0.4514887842356399,-0.31493545152457486,-0.34252746149296226,-0.34917219568555646,-0.23502105147570415,-0.24290932604712087,-0.09447357541830552,-0.04335927071057398,0.03480717803372846
btc_friction_diff_1.75,-0.13112965491661216,-0.5347317215207357,-0.42961708216556105,-0.3627375241129071,0.1989998170733802,0.08839597616787283,-0.04139278257436264,0.999113264603965,0.9999934237606346,0.9999962181480176,0.999988049150843,0.9999381639955226,0.9991214115725078,1.0,0.9999923541686324,0.7241189434314736,0.7283198607348768,0.7284169411876112,0.727861040652888,0.7282737653365893,0.7284195014330713,0.7271296693375888,0.7219750092917632,0.526696635424532,0.39291646676773906,0.425101143448659,0.44362188777576655,0.31632343258311446,0.4640172241963791,0.5370794043516365,0.39395595696221186,0.005701724620586744,0.11246549758172315,-0.05210539830043512,-0.048418669639600356,0.0569543872706778,-0.07710551271631572,-0.05277203090930197,0.02020251806027075,-0.07080040547562903,-0.5247925877966418,-0.3879697300557094,-0.39682273563127624,-0.4578639448990909,-0.3223072144990224,-0.3550944960468556,-0.35521130959272473,-0.2413002936909915,-0.25190862280576787,-0.09413976352698118,-0.04150538024083573,0.03322356243652914
btc_friction_diff_2.0,-0.1284902355501442,-0.5365385004605308,-0.43176038741578693,-0.3651378803714263,0.19913649220458887,0.08841677309188929,-0.041404155364891275,0.9992168645501774,0.9999953309222135,0.9999910455000891,0.9999891556169096,0.9999570735080029,0.9991864992509921,0.9999923541686324,1.0,0.7251983978040092,0.7293427355666274,0.7294374223315353,0.7288901097621255,0.7292976566412017,0.7294380036020818,0.7281654869424937,0.7230373231998132,0.5274000241837955,0.39225190340091265,0.42502915159343374,0.44520741467334973,0.3180867583919357,0.46416795278016376,0.5375444707685832,0.3934794582090671,0.006187277762426563,0.11285292817535744,-0.051455690329531394,-0.048077735699439614,0.05720210871162694,-0.07662947185368091,-0.052635832842966024,0.020329487580547694,-0.07055160767654403,-0.5244248494427323,-0.3876348905261538,-0.39640950463401997,-0.45760300961135364,-0.32214877102695627,-0.35477996136303147,-0.35480382999500326,-0.24098062376358803,-0.251476784103123,-0.09385750607427805,-0.04197804618091512,0.03328680571103661
eth_friction_diff_0.25,0.3518575850147441,-0.7182613297459556,-0.7511651860094591,-0.6785408047802919,0.1955228390207121,0.03979796272514311,0.03923119991738166,0.7362164456318846,0.7246782482584075,0.7238478527396579,0.7253402038624043,0.72789680261783,0.7311844984544226,0.7241189434314736,0.7251983978040092,1.0,0.9997237638908231,0.9997078423699508,0.9997809413937729,0.9997072555965691,0.999700683777294,0.9998263171534474,0.9993302661721022,0.5158563157528736,0.24138290099607518,0.3425312671526182,0.5703561330322529,0.5278478146592905,0.41097771453231463,0.5324526006772975,0.2639066182774786,-0.01724309397397527,0.1586956305822565,-0.03261482836307646,-0.08264884098674699,0.08161980063704577,-0.06737335451805579,-0.07251750828115723,0.052102882084369695,-0.06701614164323529,-0.46404037454938435,-0.4097383042395211,-0.36119886469831236,-0.4341285909145582,-0.3673540911327557,-0.31155418306097227,-0.3305359559280148,-0.2720227365439959,-0.23823238449669998,-0.07685364957728474,-0.15308720399724196,0.09704007401139156
eth_friction_diff_0.5,0.3330492774042265,-0.7040914461954024,-0.7362631411718613,-0.6622904969592205,0.19399176495406967,0.039574022745340075,0.03830179357719603,0.7395710408420968,0.7288550571384723,0.7280634345580389,0.7294731990371368,0.7319183249619768,0.7347153035294945,0.7283198607348768,0.7293427355666274,0.9997237638908231,1.0,0.9999977457724775,0.9999952000300415,0.9999976338645252,0.9999818843730242,0.9999777751517537,0.9988036617373854,0.5079165217153077,0.24523041285192101,0.34389404128338047,0.560749822147779,0.5125548234700679,0.40845688970085603,0.5308345302600579,0.26684959794742874,-0.023997053631904467,0.15279381463276376,-0.041126701175525956,-0.08802570194487959,0.07673332292199068,-0.07394316937146174,-0.07614556245491995,0.04900540675695041,-0.07154487783630262,-0.4716646409043636,-0.41805692546468937,-0.3697845436885448,-0.44143994633343475,-0.3749620191081455,-0.3192096403380137,-0.336469607051437,-0.2781055142648538,-0.2440453639077439,-0.08000361561054865,-0.15358153271392272,0.099121505785395
eth_friction_diff_0.75,0.3325620033647235,-0.703649940710422,-0.7358851190309587,-0.6619233363627774,0.1938822452254186,0.03955751554871227,0.03826614228797539,0.7396325134510129,0.7289503153704991,0.7281595769793948,0.7295651862839165,0.7320104462096787,0.7347782191079978,0.7284169411876112,0.7294374223315353,0.9997078423699508,0.9999977457724775,1.0,0.9999930247784915,0.9999983102512997,0.9999844999747481,0.9999709644556712,0.9987638292214238,0.5075431203587745,0.24515082200406424,0.3438328325957441,0.5604753474196136,0.511692845358292,0.40824599443682047,0.5308099104602058,0.26674585834520415,-0.02446545837292065,0.15246257720710107,-0.04182202109692999,-0.08850624747579795,0.07638875311620771,-0.07466242218209831,-0.076471184144781,0.04874567994619999,-0.07197431924685471,-0.4716109121694693,-0.41807995731134334,-0.37012515249652567,-0.4414152426529064,-0.3750039345168408,-0.31948705047525494,-0.3364835828673442,-0.27817145686010036,-0.24428362037410584,-0.08007476793496114,-0.15348729611744427,0.09907004085946527
eth_friction_diff_1.0,0.33529285087651106,-0.705649635284587,-0.7379187120869491,-0.6640685473380817,0.19405855891359378,0.03966656269947431,0.038465159702385135,0.7392084560421623,0.7284004287728839,0.7276042101796091,0.7290205707488188,0.7314813830500587,0.7343373451335071,0.727861040652888,0.7288901097621255,0.9997809413937729,0.9999952000300415,0.9999930247784915,1.0,0.999992584368228,0.9999773970648617,0.9999883876624351,0.9988697604053141,0.5086812058119766,0.244654393813181,0.34365852725889157,0.5617550713717325,0.51415538356728,0.408638298992509,0.530812145102436,0.26640469160404284,-0.023316231337011863,0.153281756208576,-0.04050759490003081,-0.08761332261960655,0.07704293061172887,-0.07359904337771711,-0.07585275210559705,0.04919792073958021,-0.07126053969041098,-0.4708014459617803,-0.4172301244583208,-0.368769109829114,-0.4407501949966513,-0.3743804648464399,-0.3184737575361321,-0.3359501385631503,-0.27767721618100977,-0.24360425733589713,-0.07967641235390735,-0.15354910926585602,0.09903349144688277
eth_friction_diff_1.25,0.33281986683332654,-0.703405033459093,-0.7357916443589566,-0.6619961235265246,0.19372214276959987,0.03960522855814393,0.03823557370601426,0.7394940204609143,0.7288103091567744,0.7280182842678969,0.7294212812657495,0.7318679955711882,0.7346276743570332,0.7282737653365893,0.7292976566412017,0.9997072555965691,0.9999976338645252,0.9999983102512997,0.999992584368228,1.0,0.9999816214878258,0.9999710553724517,0.998738797617181,0.5072877931554017,0.24500859218796864,0.34383897625461257,0.5606680668582609,0.5116228347291208,0.40808984576067253,0.5308135095995395,0.26666100356270533,-0.02458939063969577,0.15215919415643714,-0.04190358887163184,-0.08849321167602127,0.07620122604053818,-0.07464726239126201,-0.07647758199098588,0.0486097882145549,-0.07206992908509752,-0.47156961169611605,-0.41807803599481697,-0.37023378306248056,-0.4414477839476275,-0.37507505335701846,-0.31965763513736417,-0.3364746525126163,-0.27819243858394205,-0.24435266249941026,-0.0800177130501956,-0.15380367629891584,0.09896069411329494
