,time,close,volume,friction_up,friction_down
0,2023-01-19 11:06:00,20834.0,0.322753,1111604.7187137997,1331948.59960491
1,2023-01-19 11:07:00,20853.95,0.791273,1458562.47457011,1038889.8651706302
2,2023-01-19 11:08:00,20860.14,0.0,1367783.1842293502,1002655.5043948198
3,2023-01-19 11:09:00,20892.38,0.214732,1481185.25118348,1003066.9272676203
4,2023-01-19 11:10:00,20890.18,0.144785,1374380.3811204901,1090773.7301776502
5,2023-01-19 11:11:00,20898.56,0.399816,1269595.2941006203,1169453.3340993796
6,2023-01-19 11:12:00,20905.98,0.772961,1313175.7819865202,1095389.26298718
7,2023-01-19 11:13:00,20914.34,0.503778,1419449.3348444803,1233099.4989414997
8,2023-01-19 11:14:00,20915.79,0.19798,1436130.80196219,1274815.35813742
9,2023-01-19 11:15:00,20918.96,0.350339,1657931.2252024002,1248109.6309171696
10,2023-01-19 11:16:00,20903.64,1.031664,1378446.85804138,1324212.60391285
11,2023-01-19 11:17:00,20903.03,0.610459,1366447.57583151,1306069.56980461
12,2023-01-19 11:18:00,20902.68,0.022242,1400456.24277896,1323864.9591147597
13,2023-01-19 11:19:00,20903.52,0.020082,1381380.66378967,1308946.32062742
14,2023-01-19 11:20:00,20904.24,0.001,1402617.0659382497,1303990.8310914598
15,2023-01-19 11:21:00,20880.71,0.456738,1271519.0406441,1339529.3014490595
16,2023-01-19 11:22:00,20889.1,0.389185,1495162.71901776,1337662.3650379095
17,2023-01-19 11:23:00,20895.53,0.066063,1589424.38067969,1420124.2244581499
18,2023-01-19 11:24:00,20893.07,0.001318,1578343.0721215596,1332312.6453649297
19,2023-01-19 11:25:00,20901.52,0.544306,1579425.0181940002,1290638.65595109
20,2023-01-19 11:26:00,20901.0,0.002955,1577752.1930754401,1339139.80700732
21,2023-01-19 11:27:00,20901.27,0.519481,1564668.98533381,1355861.9921683697
22,2023-01-19 11:28:00,20889.82,0.166218,1484308.66224142,1405555.8352623794
23,2023-01-19 11:29:00,20894.68,0.16495,1587829.52859145,1373170.6860683893
24,2023-01-19 11:30:00,20884.03,0.418578,1451547.69329844,1354447.9335599495
25,2023-01-19 11:31:00,20876.81,0.067893,1277309.11403621,1341969.5549265493
26,2023-01-19 11:32:00,20885.02,0.16512,1457083.1833883899,1262007.2232228299
27,2023-01-19 11:33:00,20872.41,0.019953,1188240.1859547202,1300449.8047443198
28,2023-01-19 11:34:00,20861.06,0.015816,1154255.32302621,1329932.6137203597
29,2023-01-19 11:35:00,20857.1,0.068933,1223213.8683520802,1355647.20415737
30,2023-01-19 11:36:00,20871.73,0.259177,1276307.45280187,1291741.4662467302
31,2023-01-19 11:37:00,20860.21,0.267123,1115044.76784632,1366211.48584796
32,2023-01-19 11:38:00,20854.12,0.001319,1215199.9298368404,1399178.01462084
33,2023-01-19 11:39:00,20867.39,0.205219,1298660.5503543303,1339454.8608808399
34,2023-01-19 11:40:00,20880.49,0.017929,1297620.03245495,1305945.8777302396
35,2023-01-19 11:41:00,20862.98,0.18187,1367655.2895162702,1306569.8004301498
36,2023-01-19 11:42:00,20878.23,0.007355,1297535.7602780103,1325073.4854226697
37,2023-01-19 11:43:00,20843.35,1.456241,1299604.7675621798,1537117.3144712897
38,2023-01-19 11:44:00,20851.72,0.171259,1459642.8824224602,1202598.1665721098
39,2023-01-19 11:45:00,20848.51,0.119979,1489843.7723521804,1333014.0205707198
40,2023-01-19 11:46:00,20845.15,0.631041,1324832.39374899,1459045.50043156
41,2023-01-19 11:47:00,20850.48,0.021318,1463538.24352699,1259000.3146542204
42,2023-01-19 11:48:00,20862.05,0.0041,1488993.9763266798,1010539.2707303701
43,2023-01-19 11:49:00,20881.74,0.06901,1323977.7133882898,1211897.7408656399
44,2023-01-19 11:50:00,20877.66,0.771137,1311887.84765845,1284818.5385231099
45,2023-01-19 11:51:00,20872.78,0.786501,1319117.5458469202,1276764.05325528
46,2023-01-19 11:52:00,20876.91,0.330278,1328628.72118794,1264968.2143718
47,2023-01-19 11:53:00,20870.5,0.039928,1292506.43481689,1246858.4153792097
48,2023-01-19 11:54:00,20863.22,0.20297,1245752.0648267001,1298008.1680394798
49,2023-01-19 11:55:00,20872.54,0.464822,1341733.00814686,1237394.1905717696
50,2023-01-19 11:56:00,20875.04,0.215938,1334632.3752718898,1231374.5714401098
51,2023-01-19 11:57:00,20871.51,0.1651,1345521.49888188,1286976.76539939
52,2023-01-19 11:58:00,20868.67,0.001317,1274927.8980486603,1283733.1555659499
53,2023-01-19 11:59:00,20875.8,0.0,1337694.1520159198,1296904.9112857596
54,2023-01-19 12:00:00,20886.14,0.454862,1324452.3079206499,981206.3715891399
55,2023-01-19 12:01:00,20886.37,0.383922,1330131.38453775,1031628.4408076102
56,2023-01-19 12:02:00,20896.95,0.06,1585427.61899425,1087476.84073339
57,2023-01-19 12:03:00,20895.93,0.6197,1597871.3744709902,1074020.0266900302
