,Date,Price,Market Cap,Volume,Active Addresses,Daily Transactions,Twitter Followers,Weekly Commits Core,Weekly Commits Sub,Weekly Devs Core,Weekly Devs Sub,Total Value Locked,Price Bitcoin,Price 1 Day Past Percent Change,Price 7 Day Past Percent Change,Price 14 Day Past Percent Change,Price 30 Day Past Percent Change,Market Cap 1 Day Past Percent Change,Market Cap 7 Day Past Percent Change,Market Cap 14 Day Past Percent Change,Market Cap 30 Day Past Percent Change,Volume 1 Day Past Percent Change,Volume 7 Day Past Percent Change,Volume 14 Day Past Percent Change,Volume 30 Day Past Percent Change,Active Addresses 1 Day Past Percent Change,Active Addresses 7 Day Past Percent Change,Active Addresses 14 Day Past Percent Change,Active Addresses 30 Day Past Percent Change,Daily Transactions 1 Day Past Percent Change,Daily Transactions 7 Day Past Percent Change,Daily Transactions 14 Day Past Percent Change,Daily Transactions 30 Day Past Percent Change,Twitter Followers 1 Day Past Percent Change,Twitter Followers 7 Day Past Percent Change,Twitter Followers 14 Day Past Percent Change,Twitter Followers 30 Day Past Percent Change,Total Value Locked 1 Day Past Percent Change,Total Value Locked 7 Day Past Percent Change,Total Value Locked 14 Day Past Percent Change,Total Value Locked 30 Day Past Percent Change,Price Bitcoin 1 Day Past Percent Change,Price Bitcoin 7 Day Past Percent Change,Price Bitcoin 14 Day Past Percent Change,Price Bitcoin 30 Day Past Percent Change,Weekly Commits Core 7 Day Past Percent Change,Weekly Commits Core 14 Day Past Percent Change,Weekly Commits Core 30 Day Past Percent Change,Weekly Commits Sub 7 Day Past Percent Change,Weekly Commits Sub 14 Day Past Percent Change,Weekly Commits Sub 30 Day Past Percent Change,Weekly Devs Core 7 Day Past Percent Change,Weekly Devs Core 14 Day Past Percent Change,Weekly Devs Core 30 Day Past Percent Change,Weekly Devs Sub 7 Day Past Percent Change,Weekly Devs Sub 14 Day Past Percent Change,Weekly Devs Sub 30 Day Past Percent Change,Price 1 Day Future Percent Change,Price 7 Day Future Percent Change
814,2021-03-25,1581.631056,183005042940,38413713634,557821,1335772,835365,5543,48864,578,2566,42356742446.0,52526.8666,-0.055099096077845446,-0.13513226187602373,-0.12244281077753029,-0.11572313197537887,-0.048774479458034155,-0.12917285161964895,-0.11981391152014051,-0.10611980942628058,0.3357147764251527,0.24943370144284316,0.20999647442405633,-0.28598501637892565,0.04821258108402673,0.05628711446403684,0.0030947671282143497,0.11896308242864823,0.03213692675135858,0.03843728937153714,0.04972919279649695,0.03963668769384634,0.004556408554359433,0.03648572694144491,0.06635579276037391,0.13723336042441792,-0.001968565532765062,-0.01630195414891249,0.05006054076980544,0.07159824746672999,-0.037702816767451124,-0.10993929011581806,-0.06236327569052439,-0.03462525345968971,0.08942610062893082,0.03337061894108874,-0.11918004131574765,0.12678134944426508,0.11822051352464644,0.15106829049963488,-0.0034482758620689655,-0.008576329331046312,0.008726003490401396,0.008647798742138365,0.010236220472440945,0.030108390204737052,0.0035829519017740816,0.21130179426623497
815,2021-03-26,1587.297964,182810172114,26325124558,524212,1252842,837914,5543,48864,578,2566,40561359860.0,51416.9083,0.0035829519017740816,-0.10833954271087884,-0.1307513679099817,0.014945322754260734,-0.001064838557830837,-0.10834282677387425,-0.1295513991742151,0.017354644723594805,-0.314694621592128,-0.11219068513519823,-0.15780979400803355,-0.5802403323388667,-0.06025051046841191,-0.009747398804621325,0.0014461606059737704,0.023333899453206287,-0.062083948458269825,-0.020394471919776374,-0.04591966894644216,-0.013601885809035066,0.0030513607824124785,0.03521961139451475,0.06663051461930239,0.13495421791190335,-0.04238717338305483,-0.07636357309508898,0.0031680520595668716,0.19093467353754584,-0.021131249051128405,-0.11231406524778176,-0.11026275491282718,0.05596441624450961,0.08942610062893082,0.03337061894108874,-0.11918004131574765,0.12678134944426508,0.11822051352464644,0.15106829049963488,-0.0034482758620689655,-0.008576329331046312,0.008726003490401396,0.008647798742138365,0.010236220472440945,0.030108390204737052,0.07123357275345175,0.24139968971824363
816,2021-03-27,1700.366869,195511706253,24804294374,505358,1217645,841335,5543,48864,578,2566,42228835467.0,55033.10048,0.07123357275345175,-0.06425842047751135,-0.03984859016198352,0.044200263571254755,0.0694793620733498,-0.06538151129671516,-0.040535447081842625,0.05202489097201688,-0.05777105368102927,-0.09294560424235777,-0.12773269685393002,-0.3847134179271328,-0.035966364753191454,-0.018308685407249267,-0.02294926028753277,0.01680462610109335,-0.028093726104329197,-0.026469675843012845,-0.049314963679177516,-0.0018706037328463097,0.0040827578963950955,0.03415024485220367,0.06553266184644961,0.13413450521008857,0.04110995323518229,-0.05580083428739742,0.00560270799107982,0.13587459460620932,0.07033079777766409,-0.055116584223016366,-0.04046390130530129,0.10398769060205212,0.08942610062893082,0.03337061894108874,-0.11918004131574765,0.12678134944426508,0.11822051352464644,0.15106829049963488,-0.0034482758620689655,-0.008576329331046312,0.008726003490401396,0.008647798742138365,0.010236220472440945,0.030108390204737052,0.007922412066239864,0.2550831393551458
817,2021-03-28,1713.837876,197943394050,21118379280,489112,1197938,844707,4773,45415,545,2498,42623361896.0,55832.41811,0.007922412066239864,-0.05722237070907608,-0.11095115686674778,0.16678087404843828,0.012437556009323034,-0.05496295969412854,-0.10998860119523826,0.17363569787136193,-0.1485998770383727,-0.28401285527741393,-0.3558710464333315,-0.334563276946504,-0.03214750731164837,-0.023010914204445582,-0.055671719307187804,-0.021957915827656056,-0.016184520118753824,0.003352778836368814,-0.052949802951186446,-0.021179727403238445,0.004007915990657705,0.030923796238324856,0.06460553081117051,0.13394144416253875,0.009342583678593393,-0.07409750919404781,-0.045870924605368554,0.18252352621774795,0.014524306699574083,-0.04357498723228342,-0.08941958935302426,0.18810919907076687,-0.13891394551686811,-0.061910377358490566,-0.2415382170665819,-0.07058366077275705,0.04724899691002168,0.06982167675673129,-0.05709342560553633,-0.0603448275862069,-0.04886561954624782,-0.026500389711613406,-0.018081761006289308,0.0028101164191087916,-0.014471075909399472,0.1766966264666682
818,2021-03-29,1689.036798,194647792270,19859272132,510962,1256264,844814,4773,45415,545,2498,42811261212.0,55728.10133,-0.014471075909399472,-0.056603283080306925,-0.0948702891238824,0.16405919859280615,-0.016649213255217496,-0.05516845035302844,-0.09620809567642807,0.16450147652996,-0.05962139098393918,-0.3205570921269236,-0.24717212730730911,-0.45861097383960947,0.044672794779109896,0.010005930025696778,-0.018571694731969474,0.03521827306267082,0.04868866335319524,-0.028320515686309392,-0.03961005353660373,0.0548073911681804,0.00012667114159110792,0.02527339563999034,0.06064323028809395,0.12966759065739733,0.004408364512833828,-0.032485788427164417,-0.03882519060074921,0.24811500517398472,-0.0018683908655806028,-0.03205357932055885,-0.06227377643134787,0.19712826263484187,-0.13891394551686811,-0.061910377358490566,-0.2415382170665819,-0.07058366077275705,0.04724899691002168,0.06982167675673129,-0.05709342560553633,-0.0603448275862069,-0.04886561954624782,-0.026500389711613406,-0.018081761006289308,0.0028101164191087916,0.07613190556432141,0.23014206348866054
819,2021-03-30,1817.626388,209088522652,32618518752,518865,1286746,846276,4773,45415,545,2498,45204685890.0,57634.92869,0.07613190556432141,0.07750066585948281,0.01483965711486752,0.2280184223357358,0.07418902733799808,0.06986394078082882,0.008798663046947326,0.24580783352637342,0.642483094807918,0.03957670170589554,-0.010070520117723683,0.15580495108564044,0.015466903605356172,-0.03031656534357964,0.002412985688232203,0.06597842835130971,0.024264008202097648,0.001052596365469549,-0.006432054952759529,0.10247312887430439,0.0017305584424500541,0.023148747051548187,0.05893437874213097,0.12705760768812793,0.05590642766041947,0.023760074436189275,0.061679193284607865,0.30896513708273915,0.03421662167724893,0.06004750542330608,0.03278538921979388,0.23538204155988512,-0.13891394551686811,-0.061910377358490566,-0.20753777187448116,-0.07058366077275705,0.04724899691002168,0.027558431567753467,-0.05709342560553633,-0.0603448275862069,-0.06837606837606838,-0.026500389711613406,-0.018081761006289308,0.006041079339508659,0.012471520082266797,0.15414058513327436
820,2021-03-31,1840.294952,212080597430,28496809578,537382,1337069,849771,4773,45415,545,2498,47249037607.0,58668.62834,0.012471520082266797,0.09943235941883154,0.017552024350549547,0.2990364198865218,0.014310086178091708,0.10235474086549702,0.02425165406155462,0.2987991365078959,-0.12636101612515063,-0.009114036800172922,-0.07137105979228314,-0.19547045961201623,0.03568751023869407,0.009805248006253712,0.06957229607485267,0.09365803623397821,0.03910872852917359,0.03313910496290704,0.0626392307429428,0.1380918495719395,0.004129858344086326,0.02188014084100551,0.059022122079582656,0.12799413815944047,0.0452243318751219,0.11330621896216583,0.10171121676389042,0.41122223009278136,0.017935298498588326,0.07481484143391282,0.03234852727123176,0.30461229904544357,-0.13891394551686811,-0.061910377358490566,-0.20753777187448116,-0.07058366077275705,0.04724899691002168,0.027558431567753467,-0.05709342560553633,-0.0603448275862069,-0.06837606837606838,-0.026500389711613406,-0.018081761006289308,0.006041079339508659,0.0410464550358664,0.14930242551684186
821,2021-04-01,1915.832536,221210690538,28955571444,585083,1352891,854155,4773,45415,545,2498,47319707202.0,58817.37389,0.0410464550358664,0.21130179426623497,0.0476158429925527,0.21996492243321822,0.043050110281839936,0.20876827755247213,0.05262823219364801,0.2297338603556217,0.016098709743078452,-0.24621785542829144,-0.058199185026245846,-0.08382765446811449,0.0887655336427346,0.04887230850039708,0.1079103041871175,0.15468855461395456,0.011833345923060066,0.01281580988372267,0.051745704248291065,0.10207431495634521,0.005159036964076204,0.022493161671844043,0.059799567968097635,0.13010372840094203,0.0014956832684678897,0.11717059597600576,0.09895853214389168,0.3007386335334778,0.002535350735285311,0.11975790099765823,-0.003347487739602788,0.18137209052049957,-0.13891394551686811,-0.061910377358490566,-0.20753777187448116,-0.07058366077275705,0.04724899691002168,0.027558431567753467,-0.05709342560553633,-0.0603448275862069,-0.06837606837606838,-0.026500389711613406,-0.018081761006289308,0.006041079339508659,0.028519540707915018,0.03826823306439561
822,2021-04-02,1970.4712,227187483749,32076778812,593328,1344619,857761,4773,45415,545,2498,48536060493.0,58801.19484,0.028519540707915018,0.24139968971824363,0.10690701501274222,0.31620168414504746,0.027018555009543244,0.24275077870024875,0.10810764636043038,0.3207209557972092,0.10779298118969632,0.2184853576410569,0.08178265054009969,0.10420123202033331,0.014092017713726087,0.1318474205092596,0.12081485231557393,0.2344617663642208,-0.006114313717808751,0.07325504732440323,0.05136657739898743,0.09960501136716769,0.004221716199050524,0.023686201686569267,0.059740031899897086,0.13137499043734946,0.025705004593701078,0.1966083154146006,0.10523102885424644,0.30798596381541343,-0.00027507263466512613,0.1436159190458364,0.015171766095720423,0.21159045469991397,-0.13891394551686811,-0.061910377358490566,-0.20753777187448116,-0.07058366077275705,0.04724899691002168,0.027558431567753467,-0.05709342560553633,-0.0603448275862069,-0.06837606837606838,-0.026500389711613406,-0.018081761006289308,0.006041079339508659,0.08304134970356329,0.05627225762041093
823,2021-04-03,2134.101788,246446284274,35467665331,541741,1278820,863139,4773,45415,545,2498,50926555531.0,59060.02678,0.08304134970356329,0.2550831393551458,0.1744334792522279,0.35118720881013277,0.08477051731545827,0.26051932642380304,0.17810466784349738,0.3531088066390652,0.10571156595472926,0.42990019374134686,0.29699725622779294,0.16852898443433187,-0.08694516355203193,0.07199450686444066,0.052367696679960295,0.02458089358933624,-0.048935051490422196,0.05024042311182652,0.022440899554827816,0.04504286586347482,0.0062698117540900085,0.025915955000089145,0.06095123606112455,0.13428538387340103,0.049251937914177514,0.20596637268855994,0.13867244296999184,0.3140944024401238,0.004401814294833531,0.07317280445544687,0.01402318519282756,0.1677144272234608,-0.13891394551686811,-0.061910377358490566,-0.20753777187448116,-0.07058366077275705,0.04724899691002168,0.027558431567753467,-0.05709342560553633,-0.0603448275862069,-0.06837606837606838,-0.026500389711613406,-0.018081761006289308,0.006041079339508659,-0.05502761942299626,-0.030192557994333007
