,time,btc_close,eth_close,doge_close,btc_volume,eth_volume,doge_volume,btc_friction_diff_0.25,btc_friction_diff_0.5,btc_friction_diff_0.75,btc_friction_diff_1.0,btc_friction_diff_1.25,btc_friction_diff_1.5,btc_friction_diff_1.75,btc_friction_diff_2.0,eth_friction_diff_0.25,eth_friction_diff_0.5,eth_friction_diff_0.75,eth_friction_diff_1.0,eth_friction_diff_1.25,eth_friction_diff_1.5,eth_friction_diff_1.75,eth_friction_diff_2.0,doge_friction_diff_0.25,doge_friction_diff_0.5,doge_friction_diff_0.75,doge_friction_diff_1.0,doge_friction_diff_1.25,doge_friction_diff_1.5,doge_friction_diff_1.75,doge_friction_diff_2.0,btc_close_15_min_future_percent_change,eth_close_15_min_future_percent_change,doge_close_15_min_future_percent_change,btc_close_10_min_future_percent_change,eth_close_10_min_future_percent_change,doge_close_10_min_future_percent_change,btc_close_5_min_future_percent_change,eth_close_5_min_future_percent_change,doge_close_5_min_future_percent_change,btc_close_15_min_past_percent_change,eth_close_15_min_past_percent_change,doge_close_15_min_past_percent_change,btc_close_10_min_past_percent_change,eth_close_10_min_past_percent_change,doge_close_10_min_past_percent_change,btc_close_5_min_past_percent_change,eth_close_5_min_past_percent_change,doge_close_5_min_past_percent_change,btc_volume_1_min_past_percent_change,eth_volume_1_min_past_percent_change,doge_volume_1_min_past_percent_change
0,2023-01-22 12:36:00,22935.12,1660.55,0.0923204,0.288043,2.0755,0.0,-437598.79046955984,-163055.42546820268,114864.81841298379,82066.47477541119,-90432.87812972255,-202737.7536611054,-345260.23815370724,-385562.5726986816,-828108.606622101,-684014.1742177962,-651300.8725310971,-544345.9871141929,-619874.564297392,-709316.7431717939,-744985.4508129931,-874934.7092456901,-52554.26232560017,-33121.64896290004,-141850.5412685001,-226506.85326760012,-295791.0571386003,-349459.76459770015,-398446.2338408003,-414420.12142080005,-0.0011772338666638763,-0.001987293366655599,-0.0032766322502935127,-0.0008192675686892956,-0.0012285086266598196,-0.004777925572246219,-0.0009862603727383585,-0.0007467405377736347,-0.004852665283079255,,,,,,,,,,,,
1,2023-01-22 12:37:00,22928.57,1660.85,0.0919576,0.0,0.0,0.0,-461726.16965723876,-187311.59825588204,90608.64562530443,57857.857552961446,-114689.05091740191,-226993.92644878477,-369516.4109413866,-409818.745486361,-726635.0268646008,-582488.301538296,-549774.9998515975,-442820.1144346921,-518348.69161789166,-607790.8704922935,-643493.0966104926,-773408.8365661898,-45482.882099100214,-27078.604953700094,-135491.5612760001,-220840.91644330026,-289310.2181683004,-339745.53382710024,-392762.80270430044,-408490.25158920017,-6.454829062604269e-05,-0.0018243670409729795,0.0018921763943381908,-0.0011038629971254776,-0.0018002829876268233,0.001120081428832482,-0.0008522118911035827,-0.0013125809073666114,0.0021379418340627104,,,,,,,,,,-1.0,-1.0,
2,2023-01-22 12:38:00,22911.85,1659.68,0.0920923,0.0,0.0,7279.0,-517430.177731378,-243056.3060197411,34846.92614009511,2857.908505302854,-170441.8190797111,-282803.18383244425,-424091.0453466857,-465527.9967500204,-619217.5101976017,-474397.51211619657,-442514.2104294975,-335454.78482549265,-411087.90219579265,-499206.0145180938,-536091.8470963934,-666126.8274024902,-65767.54511610034,-46710.00990740018,-154951.41144820023,-240194.89957840036,-309519.93034910056,-361671.9839304004,-412095.05235160055,-428199.24123650027,0.0005647732505233025,-0.00037356598862438436,0.001739559116234465,0.00035352885079127975,-0.0008676371348694052,-0.0011369028681007993,-0.0003574569491332516,-0.0007170056878434726,0.00043108924416051744,,,,,,,,,,,,inf
3,2023-01-22 12:39:00,22914.87,1659.59,0.0919381,0.974319,9.92157,0.0,-435765.5727359783,-161426.00158574153,116511.53113549482,84492.2681097025,-88777.21408431139,-201138.57883704454,-343297.2769708857,-383863.3917546207,-705954.2274022021,-561741.4559597967,-529858.1542730976,-422798.728669093,-498431.846039393,-586284.3381012939,-623435.7909399937,-753470.7712460905,-47180.73158710034,-28786.684466600185,-137142.6732681002,-222548.99595620023,-291018.2976812004,-341453.6133400002,-394470.8822172004,-410198.33110210014,0.00014706607543497386,-0.0009399912026464039,0.003419692162444148,0.0010652471517403265,-0.0005182002783819498,-4.4595222220091547e-05,-0.0012808276896180753,-0.0014642170656606972,0.0010561453847752209,,,,,,,,,,inf,inf,-1.0
4,2023-01-22 12:40:00,22912.98,1661.02,0.0919951,0.550295,3.59475,0.0,-481198.1114927586,-206858.54034252185,71078.9923787145,39089.97474392224,-134209.75284109171,-246571.11759382486,-387858.9791080663,-429295.93051140103,-859693.5019592012,-715546.7766328966,-682833.4749461969,-575895.1995292921,-651451.8236234924,-740849.3455868931,-776618.1668756926,-906467.3116607899,-42627.0908688003,-24254.27484700014,-132610.25178950024,-217959.60695680027,-286428.9086818004,-336864.22434060025,-389881.49321780045,-405608.9421027002,0.0005219748806134831,-0.002034894221622787,0.0008380881155627909,0.0006402484530603131,-0.002167342957941451,0.0002478392870925014,-0.0004202857943401958,-0.0023118324884708902,0.0011663664695185354,,,,,,,,,,-0.43520038098405145,-0.6376833505181135,
5,2023-01-22 12:41:00,22912.5,1659.31,0.0918724,0.0,0.01507,0.0,-431458.21787841804,-157084.34616678115,120818.88599305507,88829.86835826281,-84469.85922675114,-196831.2239794843,-338119.0854937257,-379556.03689706046,-714751.8702356021,-570539.0987931965,-538655.7971064972,-431596.3715024921,-507229.48887279164,-595037.3413530933,-632233.4337733933,-762268.4140794897,-36173.65348910028,-17923.34405300021,-126307.2662012002,-211725.53645650047,-280172.93383510056,-330658.0882939004,-383675.3571711006,-399322.8490102003,9.078014184404784e-05,-0.0018501666355291877,0.0008185265651054885,-0.00019116202945994627,-0.0012414798922443337,0.001583718287537855,0.00016715766503008168,-0.0004821281134929305,7.510416621303294e-05,,,,,,,-0.0009862603727383585,-0.0007467405377736347,-0.004852665283079255,-1.0,-0.9958077752277626,
6,2023-01-22 12:42:00,22909.03,1658.67,0.0921542,0.0,0.0,473.0,-381819.69524072856,-107466.25283197127,170436.97932786494,138447.9616930727,-34851.765891941264,-147213.1306446744,-288269.59315891564,-329937.9435622506,-686376.4262343016,-542163.6547918962,-510280.3531051972,-403179.2485227925,-478818.5423296923,-566661.897351793,-603857.989772093,-733856.2424749895,-56884.216593100224,-37798.88195660012,-146520.40824770008,-231276.1064197002,-300550.4756679004,-353014.43574140023,-403175.7593468004,-419229.7865553001,0.0002828578948999396,-0.001724273062152283,-0.0029808733622559004,0.0007883354293045716,-0.0005124587772131505,-0.0002452411284565597,-0.00025186574900816125,-0.0004883430700502046,-0.0010156889213947843,,,,,,,-0.0008522118911035827,-0.0013125809073666114,0.0021379418340627104,,-1.0,inf
7,2023-01-22 12:43:00,22903.66,1658.49,0.092132,0.0,0.0,0.0,-386485.6413792893,-112244.57852252107,165688.8775011152,133669.63600252382,-39269.35827249009,-151991.45633522328,-293047.9188494645,-334716.26925279945,-683880.8955013016,-539668.1240588964,-507784.8223721972,-400683.71778979246,-476323.01159669226,-564031.395133493,-601362.459039093,-731360.7117419895,-49795.103658700275,-30661.943310600123,-138892.84383260016,-224168.56491530035,-293461.36273350054,-345613.4163148004,-396086.6464124005,-412140.67362090026,0.0006195516349788065,-0.0014109219832497742,-0.0023705118742674367,0.0009225599751306568,0.0003436861241249186,0.0013079060478443495,0.0007112400376184799,-0.00015073952812498116,-0.0015673164589936489,,,,,,,-0.0003574569491332516,-0.0007170056878434726,0.00043108924416051744,,,-1.0
8,2023-01-22 12:44:00,22885.52,1657.16,0.0920352,0.0,0.96075,0.0,33760.81764375977,307934.91524764895,588487.349863925,554061.0610882826,381221.7922095088,268163.2213595556,127084.03478366416,85473.10010792874,-689372.5743015015,-545398.6797641965,-513500.9617481972,-406135.60760919284,-481968.8933729925,-569336.473115793,-607045.4675642932,-737105.60848029,-43918.284360500256,-24947.657346900087,-133222.48556320014,-218571.84073050035,-287069.09070900053,-340029.22811430035,-390493.72699150053,-406597.91587640025,0.001013741440002269,-0.0006034420333582756,-0.0013212336149647035,0.001429724996416999,0.0005249945690216339,0.0023610531622683885,0.0023490836126947696,0.0009474039923724543,-0.0010995792914015043,,,,,,,-0.0012808276896180753,-0.0014642170656606972,0.0010561453847752209,,inf,
9,2023-01-22 12:45:00,22903.35,1657.18,0.0921024,0.3602,5.20171,0.0,-284480.8255335996,-10239.762676831335,267693.69334680494,235674.45184821263,62735.45757319871,-49986.640489534475,-191043.1030037757,-232711.45340711065,-721218.031109401,-577189.9264638962,-545292.2084478971,-437926.854308893,-513760.1400726922,-601127.7198154931,-638836.7142639933,-768896.8551799902,-37805.39057360028,-18747.85536490014,-126989.25690570025,-212264.97798840032,-281557.7758066005,-333709.82938790036,-384132.8978091005,-400237.08669400023,0.0009155865844953322,-0.0001870647726862337,-0.001467931345980148,0.0009426568602409755,0.00027757998527621404,-0.000327895907164136,0.0010609801622907965,0.0001448243401441057,-0.0009174570912375925,,,,,,,-0.0004202857943401958,-0.0023118324884708902,0.0011663664695185354,inf,4.414218058808223,
